window_count,trajectory_fraction,replicate,result_source,window_overlap_connected,included_in_valid_only_analysis,exclusion_reason,rmse_wham,avg_total_std,avg_total_variance,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,max_r_hat,min_effective_sample_size,divergence_count,r_hat_above_1p05,ess_below_100,failure_reason
13,0.16,3,nuts,False,False,failed_sampler_diagnostics,15.602855675755867,2.841662681112722,8.195946418254884,12.422676466784557,0.0125,0.025,1.0529197242807977,49.6088443131423,0,True,True,failed_sampler_diagnostics
13,0.16,5,nuts,False,False,failed_sampler_diagnostics,4.4319121346509425,0.610356046933801,0.6941463718872978,3.462369521204253,0.1125,0.15,1.0266546113875032,73.5528514907393,0,False,True,failed_sampler_diagnostics
13,0.25,1,nuts,True,False,failed_sampler_diagnostics,5.197452564213073,0.3109586306353635,0.15215611384690697,3.894050253220706,0.05,0.0625,1.023739465357349,91.61266283192022,0,False,True,failed_sampler_diagnostics
13,0.25,2,nuts,False,False,failed_sampler_diagnostics,6.388083957192353,1.333095847004876,2.192018850795453,5.109073083095025,0.1,0.25,1.0352189028162946,59.928165482550554,0,False,True,failed_sampler_diagnostics
13,0.4,1,nuts,True,False,failed_sampler_diagnostics,2.486349229884646,0.2581501642418798,0.1085446925650457,1.9347703410481951,0.05,0.05,1.0188126319817117,83.61650729981798,0,False,True,failed_sampler_diagnostics
13,0.4,2,nuts,False,False,failed_sampler_diagnostics,12.865763416925377,0.5040880472369667,0.6254902205617219,8.460184838041993,0.0,0.0375,1.0142646484541686,87.53260959801419,0,False,True,failed_sampler_diagnostics
13,0.4,4,nuts,False,False,failed_sampler_diagnostics,9.498035128122844,1.2039860535576712,1.6028414874307308,8.350878612116976,0.0625,0.0625,1.0500130816209043,47.39874994997225,0,True,True,failed_sampler_diagnostics
13,0.6,1,nuts,True,False,failed_sampler_diagnostics,1.0284866515274098,0.22518990519599993,0.08446307553336282,0.7531036823640941,0.1,0.3,1.0269003125510239,82.44413571441646,0,False,True,failed_sampler_diagnostics
13,0.6,3,nuts,False,False,failed_sampler_diagnostics,10.939265279556246,3.0411223148353397,9.333292817106592,8.14530033045751,0.0625,0.1625,1.0303808983185339,56.74932907089569,0,False,True,failed_sampler_diagnostics
13,0.6,4,nuts,False,False,failed_sampler_diagnostics,14.399706179683374,1.255969269841773,1.8093469178075083,12.33741105197721,0.05,0.0625,1.011120928935313,74.00571245800157,0,False,True,failed_sampler_diagnostics
13,0.6,5,nuts,False,False,failed_sampler_diagnostics,12.854079638298492,3.730663133643142,13.940039470930241,10.289870373612477,0.0375,0.05,1.054760283540368,46.48443489406018,0,True,True,failed_sampler_diagnostics
13,0.8,2,nuts,False,False,failed_sampler_diagnostics,17.979320779960123,2.940406365124126,8.954482495044449,13.266102959812434,0.2125,0.3125,1.0270302029359595,29.468318224245806,0,False,True,failed_sampler_diagnostics
13,0.8,3,nuts,False,False,failed_sampler_diagnostics,7.060762542786499,0.5070629025675188,0.6747057308152533,5.336311703464043,0.0125,0.05,1.0266296793271403,40.396713636158005,0,False,True,failed_sampler_diagnostics
13,0.8,4,nuts,False,False,failed_sampler_diagnostics,17.761990436249473,2.26785237626832,5.333319968009302,11.877745438459954,0.25,0.2875,1.0383178204504,70.00412241909967,0,False,True,failed_sampler_diagnostics
13,0.8,5,nuts,False,False,failed_sampler_diagnostics,16.684926231129197,1.8714479254051823,3.5142581894625904,12.544427746836195,0.0,0.0125,1.1658003457933093,18.607306431180465,0,True,True,failed_sampler_diagnostics
13,0.9,2,nuts,False,False,failed_sampler_diagnostics,6.754458490177559,0.9105506013729008,2.0243745100901407,5.349486454249364,0.05,0.0875,1.0076282203571496,65.67661548779134,0,False,True,failed_sampler_diagnostics
13,0.9,3,nuts,False,False,failed_sampler_diagnostics,6.281023030490226,0.35886414469115296,0.4492265211067843,4.495118671778248,0.025,0.0375,1.0277832019797897,62.0810996252645,0,False,True,failed_sampler_diagnostics
13,0.9,4,nuts,False,False,failed_sampler_diagnostics,11.192505155380736,2.9461576682098864,8.767612325799723,7.975957464663956,0.2875,0.3125,1.0151977873021238,63.51647070293581,0,False,True,failed_sampler_diagnostics
13,1.0,2,nuts,False,False,failed_sampler_diagnostics,4.731352123331742,0.48886805215233764,0.9446912508588549,4.146040787903263,0.0375,0.0625,1.0747504974575335,41.73389485242624,0,True,True,failed_sampler_diagnostics
13,1.0,3,nuts_refined_fast,False,False,failed_sampler_diagnostics,16.492313191607494,1.2328913277822555,2.408741098887832,10.693414623789195,0.0125,0.0375,1.0893116571519472,42.774030879106164,0,True,True,failed_sampler_diagnostics
13,1.0,4,nuts_refined_fast,False,False,failed_sampler_diagnostics,9.234128062406661,1.078348309229234,1.6246069515928045,8.073720216586164,0.0125,0.0375,1.0652901423961672,85.99716859632098,0,True,True,failed_sampler_diagnostics
