window_count,trajectory_fraction,replicate,result_source,window_overlap_connected,included_in_valid_only_analysis,exclusion_reason,rmse_wham,avg_total_std,avg_total_variance,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,max_r_hat,min_effective_sample_size,divergence_count
6,0.9,2,nuts,True,False,failed_sampler_diagnostics,15.35009369030538,3.557184091231446,13.196569810734633,12.235585306286334,0.075,0.15,1.005058401705915,82.81091677117644,0
6,0.9,3,nuts,False,False,failed_sampler_diagnostics,20.57628674594619,2.936944146526709,9.330375429880451,16.519106344041425,0.075,0.2125,1.0227654580094765,65.92027833700426,0
6,0.9,4,nuts,False,False,failed_sampler_diagnostics,20.754284987900906,3.326407303038896,11.499120584981437,16.216557031339402,0.0875,0.175,1.0281975363369296,95.7506798524464,0
6,0.9,5,nuts,False,False,failed_sampler_diagnostics,18.316200546906995,3.4257950337836425,12.056227947195147,14.882884615426098,0.05,0.1125,1.0333861274958354,70.1861098267452,0
6,1.0,1,nuts,False,False,failed_sampler_diagnostics,19.80068050400886,3.108807242314895,9.955786768249927,15.505219466798351,0.1625,0.1875,1.0312088850256536,88.34400933026328,0
6,1.0,2,nuts_refined_fast,False,True,,21.220131672529664,2.903980806039005,9.009002766748358,16.92356717847489,0.0875,0.1875,1.0118868718045417,247.1658688576122,0
6,1.0,3,nuts,False,False,failed_sampler_diagnostics,18.23767197604438,3.3552446152878472,11.725918089950799,14.636935368614122,0.075,0.125,1.0197546218615061,51.168695765080365,0
6,1.0,4,nuts,False,False,failed_sampler_diagnostics,17.983119269952855,3.8990187452659257,15.559835182293995,13.59181205397294,0.0625,0.25,1.0087042736300627,74.11924825346202,0
6,1.0,5,nuts,False,True,,13.918753470189413,1.6208534583386107,3.6174151286806167,11.738867376426544,0.05,0.0625,1.0121504025563213,168.74733275889338,0
8,0.04,1,nuts,False,False,failed_sampler_diagnostics,13.230677919202828,3.6237670459503546,13.298767770328146,9.864815983066014,0.1875,0.3,1.0463904869055962,70.04969254691244,0
8,0.04,2,nuts,False,True,,19.615987286874642,3.525621201164711,12.771295497014336,15.995245539715725,0.1375,0.1875,1.0421605871404913,108.94748160736923,0
8,0.04,3,nuts_refined_fast,False,False,failed_sampler_diagnostics,20.622774771804522,3.5634674409886458,13.030686330172955,16.908172562075272,0.0625,0.125,1.0505003364242556,149.37714047530156,0
8,0.04,4,nuts,False,False,failed_sampler_diagnostics,16.85511348870798,2.0659335014503633,5.152851027216224,12.23005834764117,0.0125,0.075,1.0192667320133793,80.27085084009553,0
8,0.04,5,nuts,False,True,,19.42813795791101,2.940566621210661,9.143302640655424,16.23720810306478,0.0125,0.1,1.0030701953473649,212.18754324561544,0
8,0.063,1,nuts,False,True,,13.006630348002275,3.478882811926064,12.257693733417385,9.622100549203742,0.2375,0.3125,1.0183980437370268,113.81648292330019,0
8,0.063,2,nuts,False,True,,20.857090128651635,3.633230733939682,13.549101982377522,16.288346181692333,0.025,0.2,1.01861564705155,112.16528213916,0
8,0.063,3,nuts,False,False,failed_sampler_diagnostics,20.13790663895805,3.0680352194323883,9.881371927484278,16.356553501469136,0.0125,0.1875,1.018701759609401,82.58265273411101,0
8,0.063,4,nuts,False,True,,19.733997888791908,3.8559658066867626,15.269020472750867,16.723034139224346,0.0125,0.075,1.007374058168881,118.66740297893013,0
8,0.063,5,nuts,False,True,,13.027490875119115,3.8118534014027956,14.789100497489974,9.714099880098793,0.175,0.325,1.0130113486795005,111.83303432635587,0
8,0.1,1,nuts,False,True,,12.215617450460748,3.2087828884129053,10.4100165568352,9.151609969985966,0.225,0.2875,1.0139632150279592,125.61668649360175,0
8,0.1,2,nuts,False,True,,20.21309525279592,3.101220583130283,9.997806129083973,16.64262702249494,0.0125,0.1625,1.008556988650329,138.79009045471548,0
8,0.1,3,nuts,False,False,failed_sampler_diagnostics,16.418734998879145,3.7765382539720784,14.490158524736671,12.874051561285285,0.0625,0.125,1.0214862778224445,93.46285908676501,0
