theta_ell,theta_sd,theta_sf,theta_w
-1.176875245855258711e+00,6.625471609939981299e-03,1.960072498641675098e+00,3.491659948731420382e+00
-1.325930951187799245e+00,1.555885120550885681e+00,1.959490687412193566e+00,3.077098061457876899e+00
-1.192245151504500500e+00,-3.136771944551514757e+00,2.016910671501585206e+00,3.614420893760435849e+00
-1.301862616176920229e+00,-1.362654005802520940e+00,1.971585862819998480e+00,3.197978294337623151e+00
-1.274783835434852186e+00,-2.123843316030626482e+00,2.022396776206440094e+00,3.137691719358380649e+00
-1.317999509673365655e+00,-2.907261637738473237e+00,2.055795096645911091e+00,3.272776899334371770e+00
-1.174490459310483903e+00,-3.750272986708842904e+00,1.967139811381925174e+00,3.485003415837234275e+00
-1.193067250280584357e+00,-3.706710021918813602e+00,1.963887916289047020e+00,3.598273359264267057e+00
-1.232197756527990684e+00,-1.715745268554082603e+00,1.980031511605601091e+00,3.467320250281825000e+00
-1.327720740292747781e+00,7.620184613430996956e-01,1.961883737202896549e+00,3.173995933934916192e+00
-1.320622923092202639e+00,-6.748086713570031758e-01,1.978126527705271087e+00,3.218695066851942066e+00
-1.233244131139202393e+00,-1.890643792910309262e+00,1.878975650393947872e+00,3.579434232568007968e+00
-1.202885029997426525e+00,-1.657300664364051546e+00,2.012203635684972181e+00,3.472324857111936502e+00
-1.217846256921931047e+00,-1.658292303763484687e+00,2.039623880804039224e+00,3.472615933678784739e+00
-1.255157143399698638e+00,-2.396477886249625211e+00,1.994286190810715675e+00,3.459282855566345294e+00
-1.187254035415437503e+00,-2.109338193425986496e+00,1.963608720489859794e+00,3.413974598400663751e+00
-1.197277361420592490e+00,-2.007635724832131707e+00,1.971715866833637643e+00,3.452586313536087914e+00
-1.231180836398237277e+00,-1.628858159786154669e+00,2.030642499803148038e+00,3.510722044986206658e+00
-1.236887752781424599e+00,9.172177822133550373e-01,1.873042317035469528e+00,3.551077370979712100e+00
-1.267398802444240857e+00,2.150658106126257074e+00,1.847747372453420356e+00,3.513265257849464529e+00
-1.268600390308538106e+00,2.442222580591749459e+00,1.860241369482583229e+00,3.464933993861635031e+00
