# phi,psi,free_energy_kJ_per_mol
2.879793265790643542e+00,-2.356194490192344837e+00,5.115465456050540638e+01
3.054326190990076739e+00,-2.356194490192344837e+00,4.122506801201500082e+01
-3.054326190990076739e+00,-2.181661564992912083e+00,3.415906015817846253e+01
-2.879793265790643986e+00,-2.181661564992912083e+00,2.707769933981698784e+01
-2.705260340591210788e+00,-2.181661564992912083e+00,2.251176967453823607e+01
-2.530727415391777591e+00,-2.181661564992912083e+00,2.022592537348283059e+01
-2.356194490192344837e+00,-2.181661564992912083e+00,1.967296335061652712e+01
-2.181661564992912083e+00,-2.181661564992912083e+00,1.995797858945366343e+01
-2.007128639793479330e+00,-2.181661564992912083e+00,2.042163014745312211e+01
-1.832595714594046132e+00,-2.181661564992912083e+00,2.013760486339830891e+01
-1.658062789394612935e+00,-2.181661564992912083e+00,2.026654923605269687e+01
-1.483529864195180181e+00,-2.181661564992912083e+00,2.126757622383826529e+01
-1.308996938995746984e+00,-2.181661564992912083e+00,2.400520310493255494e+01
-1.134464013796314230e+00,-2.181661564992912083e+00,2.900665530173681006e+01
-9.599310885968812546e-01,-2.181661564992912083e+00,3.587345867182183667e+01
-7.853981633974482790e-01,-2.181661564992912083e+00,4.379000826229614063e+01
-6.108652381980153034e-01,-2.181661564992912083e+00,5.018044574668907387e+01
-4.363323129985823279e-01,-2.181661564992912083e+00,5.344738459603181013e+01
-2.617993877991495744e-01,-2.181661564992912083e+00,5.197748893522670244e+01
-8.726646259971659880e-02,-2.181661564992912083e+00,4.751797761008906207e+01
8.726646259971637676e-02,-2.181661564992912083e+00,4.119614965328404566e+01
2.617993877991493523e-01,-2.181661564992912083e+00,3.371878020631532991e+01
4.363323129985823279e-01,-2.181661564992912083e+00,2.658500152781213544e+01
6.108652381980153034e-01,-2.181661564992912083e+00,2.086771371233176353e+01
7.853981633974482790e-01,-2.181661564992912083e+00,1.760937784621103219e+01
9.599310885968810325e-01,-2.181661564992912083e+00,1.747984479467181274e+01
1.134464013796313786e+00,-2.181661564992912083e+00,2.081543531638359923e+01
1.308996938995746984e+00,-2.181661564992912083e+00,2.735442968912688144e+01
1.483529864195180181e+00,-2.181661564992912083e+00,3.641506561244947449e+01
1.658062789394612935e+00,-2.181661564992912083e+00,4.640334854019059208e+01
1.832595714594045688e+00,-2.181661564992912083e+00,5.610873629378201599e+01
2.007128639793478886e+00,-2.181661564992912083e+00,6.501730986361600628e+01
2.181661564992912083e+00,-2.181661564992912083e+00,7.033667805517713134e+01
2.356194490192344837e+00,-2.181661564992912083e+00,7.195763838642257326e+01
2.530727415391777591e+00,-2.181661564992912083e+00,6.870727137195142120e+01
2.705260340591210344e+00,-2.181661564992912083e+00,6.230624304497844435e+01
2.879793265790643542e+00,-2.181661564992912083e+00,5.301180507899819361e+01
3.054326190990076739e+00,-2.181661564992912083e+00,4.307872588798925051e+01
-3.054326190990076739e+00,-2.007128639793479330e+00,3.522297924776006539e+01
