analysis,index,fraction,window_index,window_center_nm,raw_segment_frames,ar1_tau_frames,thinning_stride,thinned_frames,histogrammed_frames
cumulative,3,0.6,1,1.45,228000,7.173524899724118,8,28500,27082
cumulative,3,0.6,2,1.6,228000,7.15301312433096,8,28500,28500
cumulative,3,0.6,3,1.75,228000,7.163725195559965,8,28500,28500
cumulative,3,0.6,4,1.9,228000,7.167409104944615,8,28500,28500
cumulative,3,0.6,5,2.05,228000,7.183640796508065,8,28500,28500
cumulative,3,0.6,6,2.2,228000,7.276216376535146,8,28500,28500
cumulative,3,0.6,7,2.35,228000,7.280327337843115,8,28500,28500
cumulative,3,0.6,8,2.5,228000,7.1956402946633835,8,28500,28500
cumulative,3,0.6,9,2.65,228000,7.185630039494311,8,28500,28500
cumulative,3,0.6,10,2.8,228000,7.1574780139133365,8,28500,28500
cumulative,3,0.6,11,2.95,228000,7.1774109832125665,8,28500,28500
cumulative,3,0.6,12,3.1,228000,7.282681920121291,8,28500,28500
cumulative,3,0.6,13,3.25,228000,7.291088115759774,8,28500,28500
