method,method_label,window_count,trajectory_fraction,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,profile_points
loo,Hierarchical GP (LOO),10,0.16,6.4752497761987025,0.51,0.97,100
loo,Hierarchical GP (LOO),10,0.25,6.112112273487684,0.57,0.94,100
loo,Hierarchical GP (LOO),10,0.4,10.734947736248921,0.49,0.65,100
loo,Hierarchical GP (LOO),10,0.6,3.374064722792354,0.7,1.0,100
loo,Hierarchical GP (LOO),10,0.8,6.069706877565481,0.57,1.0,100
loo,Hierarchical GP (LOO),10,0.9,1.7431939603358748,1.0,1.0,100
loo,Hierarchical GP (LOO),10,1.0,4.690535870885192,0.71,1.0,100
loo,Hierarchical GP (LOO),13,0.04,6.440661987572102,0.55,0.96,100
loo,Hierarchical GP (LOO),13,0.063,3.4401848565122175,0.91,1.0,100
loo,Hierarchical GP (LOO),13,0.1,1.6780004476641854,0.96,1.0,100
loo,Hierarchical GP (LOO),13,0.16,1.734360486453844,1.0,1.0,100
loo,Hierarchical GP (LOO),13,0.25,2.168821062401785,1.0,1.0,100
loo,Hierarchical GP (LOO),13,0.4,1.9149125906151432,1.0,1.0,100
loo,Hierarchical GP (LOO),13,0.6,1.4021011678936668,1.0,1.0,100
loo,Hierarchical GP (LOO),13,0.8,2.602487368258286,1.0,1.0,100
loo,Hierarchical GP (LOO),13,0.9,1.901964435853074,1.0,1.0,100
loo,Hierarchical GP (LOO),13,1.0,4.242220085332031,0.66,1.0,100
loo,Hierarchical GP (LOO),16,0.04,2.7132174586250613,1.0,1.0,100
loo,Hierarchical GP (LOO),16,0.063,2.4808366535270983,0.7,1.0,100
loo,Hierarchical GP (LOO),16,0.1,1.9349997800917078,0.99,1.0,100
loo,Hierarchical GP (LOO),16,0.16,2.439903615173717,0.72,1.0,100
loo,Hierarchical GP (LOO),16,0.25,1.4952284962742264,1.0,1.0,100
