method,method_label,window_count,trajectory_fraction,mean_crps_kj_mol
loo,Hierarchical GP (LOO),4,0.04,12.687055034103773
loo,Hierarchical GP (LOO),4,0.063,15.894533681964676
loo,Hierarchical GP (LOO),4,0.1,12.947448704367973
loo,Hierarchical GP (LOO),4,0.16,15.372933196699115
loo,Hierarchical GP (LOO),4,0.25,14.473027708515744
loo,Hierarchical GP (LOO),4,0.4,14.73113785347744
loo,Hierarchical GP (LOO),4,0.6,11.98374239925329
loo,Hierarchical GP (LOO),4,0.8,13.24305532878683
loo,Hierarchical GP (LOO),4,0.9,14.732453797655149
loo,Hierarchical GP (LOO),4,1.0,14.871843668702356
loo,Hierarchical GP (LOO),6,0.04,12.365842681771172
loo,Hierarchical GP (LOO),6,0.063,11.374546998986052
loo,Hierarchical GP (LOO),6,0.1,11.563637897184533
loo,Hierarchical GP (LOO),6,0.16,9.544202419889857
loo,Hierarchical GP (LOO),6,0.25,11.811834944958534
loo,Hierarchical GP (LOO),6,0.4,10.418177930053675
loo,Hierarchical GP (LOO),6,0.6,5.850166618520479
loo,Hierarchical GP (LOO),6,0.8,9.209384183043017
loo,Hierarchical GP (LOO),6,0.9,11.781998652873847
loo,Hierarchical GP (LOO),6,1.0,12.60635487446356
loo,Hierarchical GP (LOO),8,0.04,10.190430859319678
loo,Hierarchical GP (LOO),8,0.063,11.15907135796345
loo,Hierarchical GP (LOO),8,0.1,11.317933598716392
loo,Hierarchical GP (LOO),8,0.16,9.156492578014456
loo,Hierarchical GP (LOO),8,0.25,8.014749746632319
loo,Hierarchical GP (LOO),8,0.4,7.975233334084639
loo,Hierarchical GP (LOO),8,0.6,9.929361980332958
loo,Hierarchical GP (LOO),8,0.8,6.976675219447465
loo,Hierarchical GP (LOO),8,0.9,4.398312973233666
loo,Hierarchical GP (LOO),8,1.0,7.833739113373567
loo,Hierarchical GP (LOO),10,0.04,6.953020146509703
loo,Hierarchical GP (LOO),10,0.063,6.61582105443635
loo,Hierarchical GP (LOO),10,0.1,8.437031156590075
loo,Hierarchical GP (LOO),10,0.16,6.4752497761987025
loo,Hierarchical GP (LOO),10,0.25,6.112112273487684
loo,Hierarchical GP (LOO),10,0.4,10.734947736248921
loo,Hierarchical GP (LOO),10,0.6,3.374064722792354
loo,Hierarchical GP (LOO),10,0.8,6.069706877565481
loo,Hierarchical GP (LOO),10,0.9,1.7431939603358748
loo,Hierarchical GP (LOO),10,1.0,4.690535870885192
loo,Hierarchical GP (LOO),13,0.04,6.440661987572102
loo,Hierarchical GP (LOO),13,0.063,3.4401848565122175
loo,Hierarchical GP (LOO),13,0.1,1.6780004476641854
loo,Hierarchical GP (LOO),13,0.16,1.734360486453844
loo,Hierarchical GP (LOO),13,0.25,2.168821062401785
loo,Hierarchical GP (LOO),13,0.4,1.9149125906151432
loo,Hierarchical GP (LOO),13,0.6,1.4021011678936668
loo,Hierarchical GP (LOO),13,0.8,2.602487368258286
loo,Hierarchical GP (LOO),13,0.9,1.901964435853074
loo,Hierarchical GP (LOO),13,1.0,4.242220085332031
loo,Hierarchical GP (LOO),16,0.04,2.7132174586250613
loo,Hierarchical GP (LOO),16,0.063,2.4808366535270983
loo,Hierarchical GP (LOO),16,0.1,1.9349997800917078
loo,Hierarchical GP (LOO),16,0.16,2.439903615173717
loo,Hierarchical GP (LOO),16,0.25,1.4952284962742264
loo,Hierarchical GP (LOO),16,0.4,1.3258626015500392
loo,Hierarchical GP (LOO),16,0.6,1.6806292117419148
loo,Hierarchical GP (LOO),16,0.8,1.6319144403242043
loo,Hierarchical GP (LOO),16,0.9,1.3964621656857594
loo,Hierarchical GP (LOO),16,1.0,1.3754792560038749
loo,Hierarchical GP (LOO),19,0.04,2.3390395449344914
loo,Hierarchical GP (LOO),19,0.063,2.9641282543511243
loo,Hierarchical GP (LOO),19,0.1,2.0575990512957705
loo,Hierarchical GP (LOO),19,0.16,1.7995795755978252
loo,Hierarchical GP (LOO),19,0.25,1.385454152630222
loo,Hierarchical GP (LOO),19,0.4,1.776742264284148
loo,Hierarchical GP (LOO),19,0.6,1.2239337449242698
loo,Hierarchical GP (LOO),19,0.8,1.2448359844468742
loo,Hierarchical GP (LOO),19,0.9,1.6364845281044689
loo,Hierarchical GP (LOO),19,1.0,1.6166689326669583
loo,Hierarchical GP (LOO),22,0.04,3.2993079578378115
loo,Hierarchical GP (LOO),22,0.063,2.4328183037622724
loo,Hierarchical GP (LOO),22,0.1,2.0936253403901084
loo,Hierarchical GP (LOO),22,0.16,1.8234100251342904
loo,Hierarchical GP (LOO),22,0.25,1.499849051634476
loo,Hierarchical GP (LOO),22,0.4,1.0574722575527369
loo,Hierarchical GP (LOO),22,0.6,1.1127874316500426
loo,Hierarchical GP (LOO),22,0.8,1.118756430097088
loo,Hierarchical GP (LOO),22,0.9,1.1511341787993064
loo,Hierarchical GP (LOO),22,1.0,1.1295946898096143
loo,Hierarchical GP (LOO),25,0.04,3.997608131300293
loo,Hierarchical GP (LOO),25,0.063,2.7572947586052754
loo,Hierarchical GP (LOO),25,0.1,2.0512688363607325
loo,Hierarchical GP (LOO),25,0.16,1.828723853689338
loo,Hierarchical GP (LOO),25,0.25,1.4059356448795413
loo,Hierarchical GP (LOO),25,0.4,0.9794156421646069
loo,Hierarchical GP (LOO),25,0.6,0.9917793997193668
loo,Hierarchical GP (LOO),25,0.8,0.9855246782399106
loo,Hierarchical GP (LOO),25,0.9,1.1484045312028663
loo,Hierarchical GP (LOO),25,1.0,1.0144854140132538
